Продукт на 100 гр,Белки,Жиры,Углеводы,Калории (ккал)
Абрикос,0.9,0.1,9,44
Абрикосовый сок,0.9,0.1,9,38
Авокадо,2,20,6,212
Агар пищевой,4,0,76,301
Аджика,1,3.7,5.8,59
Айва,0.6,0.5,9.8,40
Айвовый компот,0.4,0,20,79
Айвовый сок,0.5,0,10.6,45
Айран (тан) газированный,1.1,1.5,1.4,24
Активиа Кефирная 1%,2.9,1,4.5,39
Активиа Кефирная 3%,2.9,3,3.6,53
Активиа Питьевая Натуральная,3.2,2.4,4.5,52
Амарант,13.6,7,69,371
Амур белый,18.6,5.3,0,134
Амур чёрный,17.5,2,0,88
Ананас,0.4,0.2,10.6,49
Ананас консервированный,0.1,0.1,14,57
Анчоус атлантический,20.1,6.1,0,135
Анчоусная паста,26,16,4,280
Анчоусы консервированные,20.1,6.1,0,135
Апельсин,0.9,0.2,8.1,36
Апельсиновый сок,0.9,0.2,8.1,36
Арахис,26.3,45.2,9.9,622
Арбуз,0.6,0.1,5.8,25
Артишок,1.2,0.1,6,28
Ацидофилин 0.1%,3,0.1,3.9,31
Ацидофилин 1%,3,1,4,40
Ацидофилин 3.2%,2.8,3.2,3.8,57
Багет,7.5,2.9,51.4,262
Бадьян,18,16,50,337
Базилик свежий,2.5,0.6,4.3,27
Базилик сушеный,14.4,4,61,251
Баклажан,1.2,0.1,4.5,24
Баклажан замороженный,1.3,0.1,5.2,27
Баклажан консервированный,0.9,0.7,7.3,49
Баклажанная икра консервированная,1.7,13.3,5.1,148
Баклажанная икра свежая,0.6,7,6,90
Бамия,2,0.1,3.8,25
Бамия 4 сезона,0.2,0.1,8,23
Банан,1.5,0.2,21.8,95
Баранина,15.6,16.3,0,209
Баранина вареная,24.6,21.4,0,291
Баранина тушеная,20,20.9,0,268
Баранина тушеная,20,20.9,0,268
Бекон,23,45,0,500
Бекон Мираторг Любительский,12,35,0,360
Белуга свежая,21,0.7,0,147
Белые грибы Hortex,3.7,1.7,1.1,34
Белые жареные,4.6,11.5,10.7,162
Белые маринованные,3,0.5,2,24
Белые свежие,3.7,1.7,1.1,34
Белые сушёные,23.4,6.4,31,282
Бразильский орех,14.3,66.4,4.8,656
Брускетта,4.7,23,21.7,315
Брусника,0.7,0.5,9.6,43
Брюква,1.2,0.1,7.7,37
Булгур,12.3,1.3,57.6,342
Бульон говяжий,0.6,0.2,0,4
Бульон грибной,0.5,0.1,0,3
Бульон куриный,2,0.5,0.3,15
Бульон куриный крепкий домашний,2.5,1.2,3.5,36
Бульон куриный постный,0.1,0,0,1
Бульон овощной,0.2,0.1,0.9,5
Бульон рыбный,0.4,0,0,2
Бульонный кубик,2,2,4,40
Ванилин,0.1,0.1,12.7,288
Ваниль,1.2,0.1,12.5,287
Ветчина из индейки обезжиренная,15,1,2,77
Ветчина Империя Вкуса из индейки,11,3,7,99
Ветчина Останкино нежная из индейки,10,10,5,154
Вешенки свежие,2.5,0.3,6.5,38
Виноград,0.6,0.2,16.8,65
Вишня,0.8,0.5,11.3,52
Вишня 4 сезона без косточки,0.8,0.2,10.7,50
Водоросли бурые,1.7,0.6,8.3,43
Водоросли зелёные,1.5,0,5,25
Водоросли красные,1.5,0,5,25
Водоросль нори,46.1,0.1,41,349
Водоросль спирулина,4.2,2.5,9.9,79
Говядина,18.9,12.4,0,187
Говядина вареная,25.8,16.8,0,254
Говядина вареная нежирная,25.7,8.1,0.2,175
Говядина жареная,32.7,28.1,0,384
Говядина мраморная,18,10,0,170
Говядина постная,22.2,7.1,0,158
Говядина постная жареная,29,9.1,0,206
Говядина средней жирности,25,20,0,275
Говядина тушеная,16.8,18.3,0,232
Говядина тушеная Лента,15,17,0,213
Говяжий фарш,17.2,20,0,254
Говяжий фарш жирный,15,25,0,293
Голубика,1,0,8.2,35
Горбуша отварная,22.9,7.8,0,168
Горбуша свежая,20.5,6.5,0,142
Горбуша солёная,22.1,9,0,169
Горошек зелёный,5,0.2,13.8,73
Горошек зелёный замороженный,6.4,0.4,16.3,72
Горчица,5.7,6.4,22,162
Горчица белая (английская),37.1,11.1,5.9,271
Горчица дижонская,9.9,12.7,5.3,143
Горчица Махеевъ столовая Русская,9.6,10.9,11,181
Гранат,0.9,0,13.9,52
Гранатовый сок,0.3,0,14.5,64
Грейпфрут,0.7,0.2,6.5,29
Грецкий орех,15.2,65.2,7,654
Гречка зелёная вареная,4,1,21,110
Гречневая каша из крупы ядрица,3,3.4,14.6,101
Гречневая крупа (ядрица),12.6,3.3,62.1,313
Груша,0.4,0.3,10.9,42
Дайкон,1.2,0,4.1,21
